epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,116.858,1.28271,0.89463,0.56211,0.57786,0.31347,0.2888,0.11741,nan,nan,nan,0.00055377,0.00055377,0.00055377
2,222.408,0.79065,0.61178,0.16834,0.64676,0.50074,0.47385,0.19128,nan,nan,nan,0.00108747,0.00108747,0.00108747
3,335.809,0.75876,0.60209,0.15702,0.65831,0.60653,0.56856,0.21853,nan,nan,nan,0.00159917,0.00159917,0.00159917
4,439.923,0.77197,0.59643,0.16453,0.70225,0.63979,0.60957,0.26052,nan,nan,nan,0.00156798,0.00156798,0.00156798
5,539.511,0.74853,0.61246,0.15274,0.66155,0.59379,0.55808,0.20951,0.70269,0.56929,0.17064,0.00153497,0.00153497,0.00153497
6,639.018,0.72842,0.63264,0.14918,0.63474,0.66112,0.60751,0.25689,0.64269,0.61863,0.15133,0.00150197,0.00150197,0.00150197
7,740.234,0.71268,0.58901,0.14511,0.70541,0.7146,0.66252,0.28329,nan,nan,nan,0.00146896,0.00146896,0.00146896
8,843.286,0.69869,0.56999,0.1402,0.76027,0.73408,0.71575,0.30146,0.64385,0.52064,0.15622,0.00143595,0.00143595,0.00143595
9,946.725,0.70061,0.56692,0.13963,0.79091,0.70244,0.69878,0.30669,0.61638,0.52709,0.1478,0.00140295,0.00140295,0.00140295
10,1051.04,0.69326,0.55312,0.1372,0.73658,0.73965,0.68842,0.31312,nan,nan,nan,0.00136994,0.00136994,0.00136994
11,1156.13,0.68167,0.54234,0.13534,0.78847,0.59368,0.58525,0.26071,nan,nan,nan,0.00133693,0.00133693,0.00133693
12,1260.84,0.6881,0.53942,0.13433,0.74936,0.77214,0.76574,0.32614,0.6154,0.51724,0.14416,0.00130393,0.00130393,0.00130393
13,1370.11,0.67275,0.56357,0.13084,0.72437,0.74253,0.72202,0.31108,nan,nan,nan,0.00127092,0.00127092,0.00127092
14,1475.71,0.68845,0.55403,0.13493,0.78013,0.70693,0.71234,0.29201,nan,nan,nan,0.00123791,0.00123791,0.00123791
15,1578.77,0.66682,0.5461,0.13051,0.73959,0.5337,0.50246,0.23062,nan,nan,nan,0.00120491,0.00120491,0.00120491
16,1684.2,0.65255,0.53159,0.1266,0.79262,0.75919,0.75497,0.33272,nan,nan,nan,0.0011719,0.0011719,0.0011719
17,1791.33,0.65644,0.52627,0.12566,0.80078,0.78218,0.75857,0.34347,nan,nan,nan,0.00113889,0.00113889,0.00113889
18,1900.86,0.64329,0.52336,0.12445,0.80187,0.81734,0.79125,0.35197,nan,nan,nan,0.00110589,0.00110589,0.00110589
19,2006.01,0.65017,0.51762,0.1263,0.77324,0.76599,0.73688,0.32635,nan,nan,nan,0.00107288,0.00107288,0.00107288
20,2113.83,0.64445,0.5169,0.12556,0.79092,0.78095,0.77912,0.3392,nan,nan,nan,0.00103987,0.00103987,0.00103987
21,2218.16,0.64365,0.51901,0.12461,0.7464,0.80356,0.76755,0.34954,0.59251,0.50581,0.13771,0.00100687,0.00100687,0.00100687
22,2320.49,0.63035,0.50753,0.12165,0.82595,0.78061,0.77369,0.34399,0.60404,0.49111,0.13907,0.000973861,0.000973861,0.000973861
23,2420.6,0.62752,0.50976,0.12103,0.77845,0.53089,0.51185,0.24211,nan,nan,nan,0.000940855,0.000940855,0.000940855
