epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,2338.33,0.8619,0.69291,0.24005,0.75078,0.73023,0.75062,0.48879,0.3674,0.48379,0.11457,0.00333283,0.00333283,0.00333283
2,4563.59,0.83048,0.5364,0.18283,0.78418,0.71528,0.75668,0.46707,0.45721,0.48486,0.107,0.00660017,0.00660017,0.00660017
3,6756.6,0.90826,0.52195,0.19696,0.79645,0.75453,0.76558,0.4819,0.41915,0.48442,0.11708,0.00980151,0.00980151,0.00980151
4,8941.77,0.9353,0.52053,0.20579,0.7897,0.75689,0.76849,0.46552,0.46432,0.50362,0.11051,0.009703,0.009703,0.009703
5,11131.4,0.9212,0.51773,0.2012,0.81024,0.74615,0.79623,0.51596,0.39498,0.47814,0.09582,0.009604,0.009604,0.009604
6,13322.7,0.89834,0.5193,0.19232,0.80815,0.75835,0.81124,0.54049,0.35986,0.47195,0.09441,0.009505,0.009505,0.009505
7,15502,0.89004,0.5182,0.1881,0.79757,0.77129,0.81021,0.54644,0.35406,0.49118,0.08765,0.009406,0.009406,0.009406
8,17691.7,0.87776,0.52343,0.18439,0.81242,0.77549,0.82445,0.55877,0.33536,0.46788,0.08375,0.009307,0.009307,0.009307
9,19885.5,0.87265,0.51883,0.18195,0.80211,0.75742,0.81586,0.51036,0.43752,0.46979,0.08776,0.009208,0.009208,0.009208
10,22078.9,0.86729,0.52127,0.17898,0.81183,0.7864,0.83406,0.58075,0.30645,0.46682,0.08055,0.009109,0.009109,0.009109
11,24267.8,0.84932,0.52307,0.17556,0.8172,0.77959,0.83593,0.56101,0.35802,0.45213,0.08055,0.00901,0.00901,0.00901
12,26455,0.84924,0.5225,0.17335,0.82359,0.78064,0.84269,0.56759,0.3598,0.4448,0.0798,0.008911,0.008911,0.008911
13,28993.2,0.8542,0.52179,0.17423,0.82048,0.78632,0.84404,0.56258,0.37369,0.44271,0.08322,0.008812,0.008812,0.008812
14,31186.5,0.83446,0.52576,0.17008,0.80699,0.77762,0.83853,0.55335,0.39193,0.44812,0.0821,0.008713,0.008713,0.008713
15,33380.6,0.83439,0.52941,0.17062,0.80481,0.78443,0.83948,0.55995,0.37991,0.4415,0.07991,0.008614,0.008614,0.008614
