epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,697.499,1.44001,1.86278,1.15218,0.71822,0.6272,0.69973,0.46634,1.01314,0.91521,0.96056,0.00333283,0.00333283,0.00333283
2,1294.77,1.41156,1.30892,1.14128,0.7514,0.65217,0.71952,0.46952,0.98736,0.84247,0.96957,0.00660017,0.00660017,0.00660017
3,1878.84,1.4625,1.31115,1.17872,0.72569,0.6349,0.69919,0.46423,1.01257,0.85609,0.99027,0.00980151,0.00980151,0.00980151
4,2460.4,1.44969,1.27838,1.18738,0.78047,0.70177,0.76334,0.51359,0.95019,0.74225,0.96315,0.009703,0.009703,0.009703
5,3042.86,1.36794,1.17469,1.15257,0.79329,0.71694,0.79082,0.53628,0.90022,0.68939,0.95009,0.009604,0.009604,0.009604
6,3622.64,1.3217,1.1167,1.13248,0.79822,0.73855,0.79907,0.55177,0.88098,0.65114,0.94164,0.009505,0.009505,0.009505
7,4203.41,1.28876,1.07637,1.11724,0.80668,0.74767,0.82358,0.56913,0.8502,0.61933,0.92671,0.009406,0.009406,0.009406
8,4782.96,1.25763,1.04096,1.10257,0.7873,0.7764,0.83625,0.58248,0.83307,0.59719,0.92208,0.009307,0.009307,0.009307
9,5362.94,1.23791,1.01732,1.09501,0.83863,0.75676,0.84469,0.5928,0.81653,0.57727,0.91425,0.009208,0.009208,0.009208
10,5943,1.22643,1.00128,1.0918,0.82692,0.78154,0.85243,0.59737,0.8126,0.56658,0.91294,0.009109,0.009109,0.009109
11,6523.72,1.21595,0.98913,1.0853,0.82387,0.7818,0.85222,0.60299,0.79965,0.5589,0.90749,0.00901,0.00901,0.00901
12,7104.09,1.20299,0.97535,1.07882,0.8244,0.77685,0.85563,0.60652,0.79218,0.54459,0.90572,0.008911,0.008911,0.008911
13,7682.94,1.19044,0.96102,1.07165,0.83678,0.77791,0.85722,0.60818,0.78984,0.53722,0.90433,0.008812,0.008812,0.008812
14,8262.21,1.18108,0.95117,1.068,0.85214,0.76599,0.8597,0.61176,0.78636,0.53073,0.90305,0.008713,0.008713,0.008713
15,8841.75,1.17468,0.9415,1.065,0.86265,0.76362,0.86202,0.61567,0.78363,0.52598,0.90227,0.008614,0.008614,0.008614
16,9422,1.16869,0.93505,1.0604,0.85118,0.76975,0.86234,0.61685,0.77988,0.52221,0.90051,0.008515,0.008515,0.008515
17,10027.2,1.15937,0.92334,1.05593,0.84188,0.77888,0.86329,0.61906,0.77646,0.51832,0.89951,0.008416,0.008416,0.008416
18,10611,1.15183,0.91579,1.05397,0.8585,0.76365,0.86301,0.62005,0.7745,0.51691,0.89827,0.008317,0.008317,0.008317
19,11188.5,1.14516,0.90781,1.05189,0.85012,0.77358,0.86458,0.62087,0.7719,0.51422,0.89736,0.008218,0.008218,0.008218
20,11766.7,1.1449,0.90555,1.05027,0.84584,0.77994,0.86472,0.62107,0.77046,0.51138,0.89691,0.008119,0.008119,0.008119
21,12345.3,1.13967,0.89812,1.04925,0.84673,0.77812,0.86498,0.62242,0.76878,0.50926,0.89631,0.00802,0.00802,0.00802
22,12923.6,1.13142,0.89274,1.04332,0.84856,0.77663,0.86529,0.6236,0.76642,0.50687,0.89533,0.007921,0.007921,0.007921
23,13501.2,1.12556,0.88384,1.0412,0.84702,0.78207,0.86647,0.62405,0.76437,0.50436,0.89466,0.007822,0.007822,0.007822
24,14079.5,1.1286,0.88128,1.04488,0.85288,0.77624,0.86625,0.62457,0.76244,0.5026,0.89401,0.007723,0.007723,0.007723
25,14661.3,1.12227,0.88187,1.04122,0.86304,0.76997,0.86677,0.62515,0.76084,0.50067,0.89334,0.007624,0.007624,0.007624
26,15260.5,1.11688,0.87453,1.03759,0.86469,0.76808,0.86745,0.62546,0.75999,0.49795,0.89249,0.007525,0.007525,0.007525
27,15838.7,1.11313,0.87019,1.03692,0.86658,0.76884,0.86805,0.62684,0.7584,0.49609,0.8918,0.007426,0.007426,0.007426
28,16417.2,1.10538,0.86691,1.03394,0.8667,0.77052,0.86925,0.62854,0.75654,0.49414,0.89097,0.007327,0.007327,0.007327
29,16995.7,1.10693,0.86376,1.03218,0.8654,0.77357,0.86912,0.62965,0.75464,0.49206,0.89003,0.007228,0.007228,0.007228
