epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,537.181,1.26711,1.67052,1.13117,0.71142,0.64433,0.68874,0.45741,1.00923,0.97423,0.96585,0.0033326,0.0033326,0.0033326
2,970.732,1.21799,1.12812,1.11234,0.7731,0.70793,0.77003,0.50285,0.99533,0.8145,0.95885,0.00633597,0.00633597,0.00633597
3,1386.48,1.26067,1.09699,1.1437,0.75233,0.64012,0.69218,0.43551,1.07,0.9239,1.00216,0.00900934,0.00900934,0.00900934
4,1810.02,1.24168,1.06017,1.14667,0.77642,0.70636,0.76571,0.50622,0.96732,0.7677,0.96405,0.008515,0.008515,0.008515
5,2235.46,1.16804,0.95971,1.11422,0.79174,0.72591,0.79618,0.53732,0.92454,0.69567,0.95618,0.00802,0.00802,0.00802
6,2662.47,1.11991,0.90026,1.0944,0.80996,0.73222,0.80284,0.55339,0.88793,0.6587,0.93918,0.007525,0.007525,0.007525
7,3092.16,1.08548,0.8566,1.07818,0.82439,0.75877,0.83148,0.5757,0.85258,0.62187,0.92509,0.00703,0.00703,0.00703
8,3519.65,1.05154,0.82095,1.06294,0.83187,0.76416,0.8375,0.58884,0.83,0.58955,0.91988,0.006535,0.006535,0.006535
9,3952.04,1.02711,0.79366,1.05251,0.82269,0.77524,0.84273,0.59023,0.81701,0.57137,0.91158,0.00604,0.00604,0.00604
10,4382.11,1.00366,0.76846,1.04112,0.86043,0.75377,0.8434,0.59694,0.81007,0.55952,0.90761,0.005545,0.005545,0.005545
11,4808.82,0.92592,0.67429,0.99437,0.86432,0.76282,0.85608,0.59632,0.80439,0.55181,0.91066,0.00505,0.00505,0.00505
12,5212.45,0.90132,0.64574,0.98542,0.8595,0.77142,0.85775,0.60769,0.78901,0.5297,0.90075,0.004555,0.004555,0.004555
13,5611.53,0.88085,0.62724,0.97473,0.8671,0.78827,0.8658,0.61688,0.78129,0.51878,0.89908,0.00406,0.00406,0.00406
14,6010.8,0.85875,0.60203,0.96535,0.85426,0.78846,0.86381,0.61859,0.76956,0.50705,0.89427,0.003565,0.003565,0.003565
15,6410.05,0.83645,0.58135,0.95441,0.85644,0.79041,0.86165,0.61604,0.76215,0.50031,0.89094,0.00307,0.00307,0.00307
16,6809.29,0.81662,0.55944,0.94677,0.84746,0.79013,0.86349,0.62016,0.75537,0.49151,0.88872,0.002575,0.002575,0.002575
17,7208.5,0.79533,0.54043,0.93934,0.86947,0.77951,0.86519,0.62543,0.74719,0.48261,0.8849,0.00208,0.00208,0.00208
18,7627.7,0.77761,0.52115,0.92875,0.86782,0.77562,0.86435,0.62751,0.74159,0.47631,0.88334,0.001585,0.001585,0.001585
19,8043.17,0.75833,0.50279,0.9205,0.86005,0.79227,0.86505,0.62913,0.7368,0.4731,0.881,0.00109,0.00109,0.00109
20,8454.21,0.73726,0.48382,0.91504,0.86151,0.79184,0.86292,0.62926,0.73348,0.47041,0.88017,0.000595,0.000595,0.000595
