epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1367.71,1.20007,1.04422,1.13265,0.80261,0.77357,0.82423,0.58768,0.80091,0.59027,0.9356,0.00333283,0.00333283,0.00333283
2,2665.09,1.17709,0.9278,1.1238,0.79764,0.73053,0.80313,0.57163,0.79599,0.59873,0.96383,0.00660017,0.00660017,0.00660017
3,3947.65,1.26392,1.0417,1.18449,0.7904,0.68763,0.75234,0.5303,0.83434,0.66205,0.9933,0.00980151,0.00980151,0.00980151
4,5226.62,1.26056,1.0454,1.19233,0.79679,0.76192,0.81704,0.58952,0.76545,0.55776,0.95613,0.009703,0.009703,0.009703
5,6504.36,1.176,0.94734,1.15223,0.84099,0.7738,0.84949,0.61477,0.72427,0.5163,0.9464,0.009604,0.009604,0.009604
6,7782.26,1.12422,0.88872,1.12917,0.82958,0.75852,0.84304,0.62554,0.70323,0.5008,0.93329,0.009505,0.009505,0.009505
7,9061.74,1.0833,0.8458,1.11011,0.84027,0.80682,0.86946,0.64894,0.67646,0.45905,0.92524,0.009406,0.009406,0.009406
8,10339.2,1.05048,0.80747,1.09074,0.85714,0.81013,0.87645,0.65188,0.66366,0.43923,0.92476,0.009307,0.009307,0.009307
9,11616.6,1.02752,0.78559,1.08077,0.85927,0.82157,0.88691,0.66748,0.64466,0.4198,0.91378,0.009208,0.009208,0.009208
10,12894.5,1.01178,0.76798,1.07592,0.86358,0.81687,0.88518,0.67485,0.63113,0.40647,0.91033,0.009109,0.009109,0.009109
11,14172.9,0.99791,0.75531,1.0683,0.87483,0.81777,0.89343,0.67995,0.62329,0.39897,0.9079,0.00901,0.00901,0.00901
12,15451.3,0.98253,0.7363,1.0565,0.88387,0.80825,0.89356,0.68054,0.6183,0.38848,0.90633,0.008911,0.008911,0.008911
13,16728.7,0.96719,0.72298,1.05075,0.89243,0.81008,0.89707,0.6831,0.61213,0.38427,0.90475,0.008812,0.008812,0.008812
14,18005.2,0.95482,0.70901,1.04491,0.8782,0.82132,0.89457,0.68611,0.60827,0.37851,0.90259,0.008713,0.008713,0.008713
15,19280.5,0.95254,0.7034,1.04151,0.88616,0.81778,0.89798,0.68885,0.60438,0.37505,0.90135,0.008614,0.008614,0.008614
