epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1377.9,1.19947,1.04465,1.13405,0.79504,0.77683,0.81843,0.58393,0.79075,0.60717,0.94689,0.00333283,0.00333283,0.00333283
2,2683.53,1.17989,0.93125,1.12117,0.80536,0.74812,0.81963,0.57668,0.79356,0.604,0.95959,0.00660017,0.00660017,0.00660017
3,3974.27,1.26648,1.04923,1.18408,0.78647,0.72934,0.78081,0.55295,0.82593,0.65842,0.97593,0.00980151,0.00980151,0.00980151
4,5259.13,1.26137,1.05055,1.19303,0.76619,0.76377,0.80748,0.58202,0.78161,0.5773,0.96377,0.009703,0.009703,0.009703
5,6542.48,1.17503,0.94814,1.1533,0.82884,0.75314,0.8346,0.60535,0.7284,0.53033,0.94226,0.009604,0.009604,0.009604
6,7827.27,1.12332,0.88451,1.12837,0.81089,0.78272,0.83958,0.62553,0.69617,0.49018,0.93611,0.009505,0.009505,0.009505
7,9112.78,1.08307,0.84662,1.11122,0.83474,0.78392,0.86142,0.64194,0.68205,0.46557,0.93167,0.009406,0.009406,0.009406
8,10397.1,1.05154,0.80815,1.09355,0.83952,0.80373,0.86619,0.65183,0.66481,0.4412,0.92338,0.009307,0.009307,0.009307
9,11681.7,1.02596,0.78595,1.08091,0.85322,0.82315,0.88177,0.66491,0.63891,0.42261,0.91255,0.009208,0.009208,0.009208
10,12965.7,1.00992,0.76801,1.07804,0.86155,0.81109,0.88637,0.67449,0.62774,0.40632,0.91091,0.009109,0.009109,0.009109
11,14249.8,0.99688,0.75219,1.06916,0.86155,0.82857,0.88747,0.67603,0.62112,0.39829,0.90865,0.00901,0.00901,0.00901
12,15537.9,0.98191,0.73647,1.05845,0.87015,0.82383,0.8885,0.67746,0.61702,0.39163,0.90808,0.008911,0.008911,0.008911
13,16827.4,0.96748,0.72125,1.05223,0.86719,0.81949,0.88991,0.68069,0.61181,0.38398,0.90654,0.008812,0.008812,0.008812
14,18110.9,0.95155,0.70782,1.04514,0.8826,0.80883,0.8935,0.6859,0.60568,0.37689,0.90415,0.008713,0.008713,0.008713
15,19395,0.95251,0.70477,1.04431,0.87181,0.8239,0.8947,0.68729,0.60289,0.37205,0.90365,0.008614,0.008614,0.008614
16,20677.7,0.94129,0.6928,1.03454,0.87824,0.82886,0.89621,0.6892,0.59927,0.36993,0.90236,0.008515,0.008515,0.008515
17,21960.8,0.93091,0.68226,1.03033,0.88174,0.83061,0.89986,0.69106,0.59771,0.36789,0.90132,0.008416,0.008416,0.008416
18,23244.1,0.92167,0.67331,1.02722,0.88383,0.82974,0.89995,0.69269,0.59633,0.3648,0.90061,0.008317,0.008317,0.008317
19,24527,0.91359,0.66354,1.02369,0.88409,0.8294,0.89981,0.69432,0.59394,0.36234,0.8997,0.008218,0.008218,0.008218
20,25810.9,0.91137,0.66016,1.02159,0.89095,0.82809,0.90155,0.69515,0.59219,0.3605,0.89894,0.008119,0.008119,0.008119
21,27094.5,0.90338,0.6508,1.02036,0.89169,0.83016,0.9024,0.69565,0.59076,0.35892,0.89827,0.00802,0.00802,0.00802
22,28377.4,0.89838,0.64888,1.01543,0.89577,0.82871,0.90203,0.69592,0.58918,0.35719,0.8974,0.007921,0.007921,0.007921
23,29661.1,0.88889,0.63602,1.00965,0.90036,0.82529,0.90213,0.69749,0.58762,0.35552,0.89684,0.007822,0.007822,0.007822
24,30944.1,0.88858,0.63403,1.01235,0.90697,0.82214,0.90209,0.6988,0.58633,0.35364,0.8965,0.007723,0.007723,0.007723
25,32227.9,0.88265,0.631,1.00829,0.90933,0.81888,0.90277,0.69977,0.58473,0.35225,0.89582,0.007624,0.007624,0.007624
26,33511.2,0.87496,0.62699,1.00535,0.91107,0.81682,0.90297,0.70053,0.58321,0.34996,0.89533,0.007525,0.007525,0.007525
27,34794.9,0.87111,0.62023,1.00465,0.91561,0.81578,0.90245,0.70148,0.58117,0.34801,0.89456,0.007426,0.007426,0.007426
28,36078.3,0.86406,0.61523,1.0017,0.91178,0.81531,0.90219,0.70218,0.57957,0.34652,0.89409,0.007327,0.007327,0.007327
29,37362,0.86413,0.61465,1.0001,0.91196,0.81568,0.90184,0.70248,0.57783,0.34456,0.89353,0.007228,0.007228,0.007228
30,38645.2,0.85596,0.60638,0.99922,0.91298,0.8154,0.90132,0.70337,0.57643,0.34282,0.89339,0.007129,0.007129,0.007129
31,39928.7,0.85148,0.60152,0.99475,0.90983,0.81781,0.90163,0.704,0.57473,0.34088,0.89318,0.00703,0.00703,0.00703
32,41212,0.84634,0.59629,0.99298,0.90739,0.82104,0.90126,0.70357,0.57306,0.33914,0.89263,0.006931,0.006931,0.006931
33,42495.2,0.84529,0.59567,0.9899,0.90482,0.82046,0.89985,0.70398,0.57105,0.33779,0.89196,0.006832,0.006832,0.006832
34,43779.1,0.83755,0.58695,0.98823,0.90793,0.81807,0.89928,0.70506,0.56924,0.33637,0.89149,0.006733,0.006733,0.006733
35,45062.6,0.83682,0.58711,0.98377,0.90806,0.81702,0.89964,0.70575,0.56778,0.33518,0.89105,0.006634,0.006634,0.006634
36,46346.5,0.83225,0.58158,0.98644,0.91052,0.8165,0.90023,0.70565,0.56538,0.33376,0.89019,0.006535,0.006535,0.006535
37,47630.5,0.82788,0.57657,0.98188,0.90837,0.81678,0.89956,0.70665,0.56374,0.33202,0.88996,0.006436,0.006436,0.006436
38,48952.8,0.82152,0.57107,0.98037,0.89305,0.82847,0.90021,0.70704,0.56209,0.33057,0.88979,0.006337,0.006337,0.006337
39,50260.5,0.81919,0.57135,0.98037,0.89112,0.83474,0.90037,0.70759,0.5605,0.32911,0.88944,0.006238,0.006238,0.006238
40,51575.8,0.81498,0.56766,0.97931,0.88837,0.83367,0.90023,0.70783,0.5583,0.32762,0.88946,0.006139,0.006139,0.006139
41,52888.2,0.80965,0.56245,0.97436,0.88886,0.83479,0.90005,0.70842,0.55665,0.32639,0.88909,0.00604,0.00604,0.00604
42,54194.5,0.80374,0.55502,0.97276,0.89103,0.83186,0.89935,0.70842,0.55526,0.3245,0.88876,0.005941,0.005941,0.005941
43,55481.8,0.80267,0.55629,0.97129,0.89814,0.82876,0.90016,0.70846,0.55371,0.32367,0.8885,0.005842,0.005842,0.005842
44,56766,0.79984,0.55168,0.97128,0.89113,0.83532,0.90032,0.70842,0.55231,0.32233,0.88843,0.005743,0.005743,0.005743
45,58077.1,0.79491,0.54954,0.96605,0.89631,0.82893,0.90062,0.70891,0.55106,0.32056,0.88818,0.005644,0.005644,0.005644
