epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,64.4392,2.11686,1.66129,1.3878,0.7646,0.71579,0.72392,0.32419,1.97297,1.21026,1.32339,0.000554042,0.000554042,0.000554042
2,103.837,1.89956,1.29222,1.25149,0.75119,0.78392,0.79382,0.35586,1.90904,1.12493,1.30914,0.00109872,0.00109872,0.00109872
3,142.392,1.88139,1.24857,1.255,0.79492,0.73684,0.81794,0.37376,1.88792,1.11149,1.28456,0.0016324,0.0016324,0.0016324
4,180.001,1.85374,1.25058,1.24184,0.71791,0.78246,0.72686,0.34337,1.83178,1.262,1.26929,0.00161749,0.00161749,0.00161749
5,217.729,1.80538,1.19538,1.21537,0.7977,0.78246,0.83145,0.38716,1.84766,1.07541,1.27182,0.00160099,0.00160099,0.00160099
6,255.633,1.81087,1.14509,1.21449,0.79234,0.77544,0.80397,0.39183,1.8504,1.13268,1.26892,0.00158448,0.00158448,0.00158448
7,293.452,1.76722,1.11048,1.19992,0.70553,0.82105,0.76111,0.36069,1.85541,1.33662,1.29487,0.00156798,0.00156798,0.00156798
8,331.346,1.7519,1.0779,1.19,0.74219,0.7614,0.75795,0.34236,1.97377,1.15108,1.32118,0.00155148,0.00155148,0.00155148
9,369.254,1.74016,1.08717,1.17918,0.81352,0.79598,0.81875,0.35525,1.93183,1.08659,1.32637,0.00153497,0.00153497,0.00153497
10,406.879,1.7017,1.03563,1.17451,0.83226,0.80083,0.85504,0.40764,1.8362,1.05947,1.26974,0.00151847,0.00151847,0.00151847
11,444.871,1.68676,1.00427,1.15863,0.86116,0.81053,0.85306,0.40035,1.88814,1.03557,1.27696,0.00150197,0.00150197,0.00150197
12,482.607,1.67725,0.99189,1.15834,0.81357,0.80351,0.82484,0.39743,1.88997,1.00664,1.27796,0.00148546,0.00148546,0.00148546
13,520.265,1.66864,0.96909,1.15412,0.857,0.7991,0.83827,0.40424,1.81688,0.97253,1.24904,0.00146896,0.00146896,0.00146896
14,558.009,1.64139,0.94071,1.15372,0.82703,0.82207,0.82629,0.40245,1.864,1.05567,1.25877,0.00145246,0.00145246,0.00145246
15,595.722,1.62087,0.93103,1.13004,0.84139,0.83509,0.83607,0.39358,1.89272,1.1097,1.3045,0.00143595,0.00143595,0.00143595
16,633.411,1.62126,0.91336,1.13402,0.82931,0.85239,0.8557,0.38871,1.87961,0.99109,1.27419,0.00141945,0.00141945,0.00141945
