epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,43.5784,2.15646,1.77471,1.33953,0.73352,0.68692,0.71915,0.28181,2.02038,1.12204,1.33162,0.000554042,0.000554042,0.000554042
2,84.3469,1.97078,1.25397,1.24598,0.7847,0.75136,0.79608,0.34671,1.87941,1.06323,1.2728,0.00109872,0.00109872,0.00109872
3,123.522,1.93285,1.19503,1.24459,0.73339,0.77034,0.75272,0.31256,1.93787,1.1448,1.31513,0.0016324,0.0016324,0.0016324
4,162.381,1.9252,1.16573,1.23796,0.75214,0.74141,0.77566,0.325,1.93732,1.09049,1.31645,0.00161749,0.00161749,0.00161749
5,202.196,1.87893,1.118,1.21461,0.80073,0.71936,0.79203,0.32521,1.91473,1.07002,1.27821,0.00160099,0.00160099,0.00160099
6,240.832,1.87312,1.09988,1.21191,0.79001,0.74684,0.8071,0.35661,1.87551,1.04674,1.28576,0.00158448,0.00158448,0.00158448
7,279.847,1.85782,1.06908,1.20449,0.7961,0.72875,0.78964,0.34527,1.86805,1.05011,1.27717,0.00156798,0.00156798,0.00156798
8,317.808,1.8233,1.04068,1.18993,0.76849,0.80108,0.82231,0.36781,1.82606,0.9794,1.26011,0.00155148,0.00155148,0.00155148
9,356.035,1.80482,1.00965,1.18205,0.80803,0.77396,0.83763,0.37749,1.82531,0.97549,1.25812,0.00153497,0.00153497,0.00153497
10,393.888,1.79405,0.99642,1.17614,0.82548,0.76673,0.81555,0.35734,1.87748,0.98523,1.25114,0.00151847,0.00151847,0.00151847
11,431.856,1.76548,0.96652,1.17032,0.84244,0.75045,0.81829,0.37053,1.86956,0.97166,1.26865,0.00150197,0.00150197,0.00150197
12,470.004,1.75139,0.95305,1.15447,0.8196,0.79691,0.83951,0.37345,1.88681,0.96995,1.28101,0.00148546,0.00148546,0.00148546
13,508.999,1.74785,0.94342,1.15761,0.82012,0.80797,0.85616,0.39001,1.8846,0.91923,1.27666,0.00146896,0.00146896,0.00146896
14,550.594,1.72339,0.93025,1.14607,0.78565,0.79747,0.825,0.36551,1.84916,0.93143,1.2609,0.00145246,0.00145246,0.00145246
15,593.423,1.69704,0.89224,1.1403,0.81836,0.79928,0.84151,0.3858,1.83732,0.91057,1.25378,0.00143595,0.00143595,0.00143595
16,634.897,1.70578,0.90328,1.14389,0.8438,0.80108,0.85714,0.39614,1.85502,0.91058,1.27869,0.00141945,0.00141945,0.00141945
17,678.321,1.68814,0.88605,1.13137,0.80317,0.82459,0.85304,0.38863,1.8321,0.88796,1.26339,0.00140295,0.00140295,0.00140295
18,715.62,1.68066,0.88375,1.12759,0.78399,0.84268,0.84648,0.38538,1.86441,0.92682,1.26858,0.00138644,0.00138644,0.00138644
19,753.148,1.68111,0.87073,1.13434,0.86165,0.79928,0.85044,0.38942,1.85785,0.88018,1.27605,0.00136994,0.00136994,0.00136994
20,790.552,1.63763,0.86159,1.11908,0.85355,0.8326,0.86817,0.38571,1.85905,0.85489,1.26776,0.00135344,0.00135344,0.00135344
21,827.744,1.66386,0.86485,1.12972,0.86215,0.80108,0.85871,0.40038,1.82836,0.87588,1.26946,0.00133693,0.00133693,0.00133693
22,864.9,1.63875,0.84559,1.12255,0.80682,0.83363,0.8481,0.38987,1.85386,0.88741,1.25733,0.00132043,0.00132043,0.00132043
23,901.969,1.60067,0.82415,1.1094,0.83506,0.82394,0.86114,0.38574,1.86089,0.88266,1.26771,0.00130393,0.00130393,0.00130393
24,939.094,1.61168,0.81462,1.10765,0.85016,0.80108,0.84693,0.37059,1.90237,0.86162,1.30228,0.00128742,0.00128742,0.00128742
25,976.484,1.59718,0.81899,1.10051,0.84794,0.84701,0.86908,0.38757,1.87769,0.83834,1.28419,0.00127092,0.00127092,0.00127092
26,1014.54,1.56451,0.78746,1.09702,0.84279,0.80108,0.86018,0.38853,1.85164,0.87348,1.26887,0.00125442,0.00125442,0.00125442
27,1051.65,1.58944,0.80927,1.09799,0.86538,0.82098,0.87311,0.39898,1.84247,0.83488,1.26138,0.00123791,0.00123791,0.00123791
28,1088.82,1.56552,0.79106,1.09363,0.85286,0.77758,0.84955,0.39528,1.87144,0.8776,1.28227,0.00122141,0.00122141,0.00122141
29,1126.42,1.53803,0.77485,1.08754,0.83239,0.78843,0.84222,0.38118,1.88307,0.88927,1.28774,0.00120491,0.00120491,0.00120491
30,1163.87,1.53565,0.76486,1.08207,0.86688,0.81251,0.87716,0.39706,1.86288,0.85835,1.26703,0.0011884,0.0011884,0.0011884
31,1200.97,1.51678,0.76414,1.07392,0.86201,0.80204,0.85436,0.39235,1.86678,0.86042,1.28375,0.0011719,0.0011719,0.0011719
32,1238.08,1.52094,0.75836,1.07964,0.87603,0.80832,0.86297,0.39278,1.86198,0.86144,1.27395,0.0011554,0.0011554,0.0011554
33,1275.05,1.50999,0.75462,1.07329,0.86582,0.79344,0.84586,0.37643,1.91314,0.84959,1.29632,0.00113889,0.00113889,0.00113889
34,1313.35,1.49417,0.74267,1.06495,0.86213,0.82545,0.86,0.39009,1.87133,0.85217,1.27417,0.00112239,0.00112239,0.00112239
35,1350.48,1.49353,0.73447,1.06405,0.87502,0.79928,0.85956,0.39256,1.86844,0.85575,1.2802,0.00110589,0.00110589,0.00110589
36,1387.76,1.46931,0.7294,1.05649,0.8731,0.79629,0.86322,0.40132,1.83191,0.84847,1.27305,0.00108938,0.00108938,0.00108938
37,1424.92,1.46425,0.73018,1.05986,0.86208,0.82509,0.86977,0.39104,1.8932,0.84504,1.29536,0.00107288,0.00107288,0.00107288
38,1462.06,1.47778,0.74336,1.06233,0.86035,0.80832,0.86804,0.39523,1.84047,0.86174,1.28977,0.00105638,0.00105638,0.00105638
39,1499.19,1.44624,0.71265,1.04639,0.86164,0.81555,0.86783,0.39575,1.87094,0.85239,1.29002,0.00103987,0.00103987,0.00103987
40,1536.33,1.44541,0.71679,1.04421,0.83063,0.83365,0.85289,0.39099,1.87775,0.85689,1.27727,0.00102337,0.00102337,0.00102337
41,1573.41,1.43689,0.71916,1.04343,0.86227,0.83779,0.87829,0.40174,1.86307,0.83896,1.28328,0.00100687,0.00100687,0.00100687
42,1610.7,1.44107,0.71488,1.04916,0.83241,0.84431,0.87489,0.39601,1.90297,0.85696,1.31119,0.000990365,0.000990365,0.000990365
43,1648.03,1.40249,0.69918,1.03161,0.8545,0.80832,0.85898,0.40312,1.86423,0.86249,1.28674,0.000973861,0.000973861,0.000973861
44,1684.98,1.39212,0.69258,1.0337,0.84292,0.83183,0.86969,0.40012,1.87533,0.8689,1.29101,0.000957358,0.000957358,0.000957358
45,1725.42,1.39226,0.69402,1.03067,0.86608,0.81374,0.85614,0.38928,1.88368,0.82166,1.29232,0.000940855,0.000940855,0.000940855
46,1767.07,1.38032,0.6913,1.0269,0.82853,0.8388,0.85715,0.40228,1.86402,0.83497,1.29058,0.000924352,0.000924352,0.000924352
47,1806.26,1.394,0.68264,1.028,0.83392,0.80651,0.84806,0.38925,1.89218,0.85321,1.30213,0.000907848,0.000907848,0.000907848
48,1846.69,1.37203,0.67005,1.02534,0.8384,0.82561,0.86182,0.40524,1.85114,0.84463,1.28117,0.000891345,0.000891345,0.000891345
49,1885.14,1.3693,0.68255,1.02799,0.87884,0.81736,0.87334,0.39826,1.8675,0.85056,1.28191,0.000874842,0.000874842,0.000874842
50,1923.52,1.33448,0.65941,1.01587,0.85235,0.82469,0.866,0.39712,1.88797,0.8635,1.31173,0.000858338,0.000858338,0.000858338
