epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,35.6101,1.20064,9.07523,0.39701,0.19717,0.40678,0.19053,0.07407,0.94745,0.93827,0.27577,0.0005,0.0005,0.0005
2,46.3457,0.65931,0.80306,0.16034,0.72732,0.71186,0.71817,0.31921,0.68959,0.57773,0.17524,0.00091902,0.00091902,0.00091902
3,56.8636,0.67556,0.45855,0.17684,0.74427,0.86441,0.77882,0.36529,0.64957,0.4239,0.17809,0.00123508,0.00123508,0.00123508
4,67.1816,0.64446,0.44905,0.16007,0.80258,0.758,0.76169,0.34135,0.68462,0.53629,0.18608,0.001406,0.001406,0.001406
5,77.43,0.61513,0.51339,0.15443,0.77444,0.64018,0.61523,0.28488,0.94996,0.44625,0.35322,0.001208,0.001208,0.001208
6,87.5608,0.60003,0.44916,0.14054,0.846,0.81356,0.84936,0.43442,0.61379,0.40619,0.17229,0.00101,0.00101,0.00101
7,98.034,0.57061,0.43118,0.14119,0.85787,0.86441,0.86842,0.46384,0.5505,0.42343,0.14516,0.000812,0.000812,0.000812
8,108.394,0.52864,0.43651,0.11546,0.80068,0.88517,0.85695,0.49335,0.5097,0.42576,0.12773,0.000614,0.000614,0.000614
9,118.682,0.51299,0.42677,0.11467,0.83921,0.88136,0.87039,0.47752,0.55845,0.41337,0.14249,0.000416,0.000416,0.000416
10,129.068,0.47578,0.40585,0.10705,0.85553,0.89831,0.89143,0.50387,0.53993,0.41261,0.14042,0.000218,0.000218,0.000218
