epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,34.6582,0.89089,6.54674,0.24147,0.49762,0.72881,0.54126,0.20186,0.74017,0.99603,0.23603,0.0005,0.0005,0.0005
2,45.5351,0.73297,0.53102,0.17301,0.737,0.74576,0.70636,0.29148,0.68742,0.59385,0.19887,0.00091902,0.00091902,0.00091902
3,56.015,0.67389,0.51102,0.1805,0.66548,0.74576,0.67032,0.20776,0.79338,0.50898,0.25235,0.00123508,0.00123508,0.00123508
4,66.7512,0.70901,0.50843,0.18972,0.52833,0.68352,0.52275,0.20129,0.74448,0.71931,0.22838,0.001406,0.001406,0.001406
5,77.4451,0.65642,0.50134,0.16472,0.28194,0.38983,0.20775,0.06286,0.97345,0.61123,0.41655,0.001208,0.001208,0.001208
6,88.4355,0.64803,0.46818,0.14992,0.3925,0.22034,0.19455,0.04096,nan,nan,nan,0.00101,0.00101,0.00101
7,99.2809,0.62545,0.48027,0.14725,0.73936,0.76271,0.72446,0.36173,0.66207,0.45446,0.17409,0.000812,0.000812,0.000812
8,109.594,0.57961,0.43281,0.12639,0.77876,0.83532,0.78821,0.3712,0.63227,0.46087,0.16298,0.000614,0.000614,0.000614
9,119.871,0.54822,0.42797,0.11875,0.81721,0.83357,0.83382,0.4094,0.64222,0.41997,0.16682,0.000416,0.000416,0.000416
10,130.349,0.52659,0.42091,0.11685,0.84349,0.82218,0.82702,0.41258,0.63021,0.41177,0.16077,0.000218,0.000218,0.000218
