epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,784.209,0.59095,0.50035,0.13709,0.81127,0.8036,0.79014,0.35697,0.59996,0.48363,0.13853,0.000555423,0.000555423,0.000555423
2,1515.98,0.52852,0.4711,0.11956,0.80695,0.80465,0.79116,0.36535,0.5922,0.48721,0.13717,0.00103776,0.00103776,0.00103776
3,2239.76,0.48189,0.44696,0.1071,0.83658,0.81821,0.8053,0.35899,0.59894,0.48728,0.14188,0.00144674,0.00144674,0.00144674
4,2959.19,0.42875,0.42324,0.09283,0.84138,0.83058,0.83206,0.38301,0.59689,0.48431,0.1384,0.00133693,0.00133693,0.00133693
5,3678.92,0.38106,0.40428,0.08149,0.8297,0.84464,0.8298,0.38249,0.59009,0.49742,0.13949,0.00122691,0.00122691,0.00122691
6,4413.24,0.32423,0.3664,0.06768,0.84598,0.83652,0.82895,0.39487,0.58867,0.52366,0.13711,0.00111689,0.00111689,0.00111689
7,5131.75,0.27916,0.33938,0.05665,0.86748,0.86245,0.85062,0.38457,0.59503,0.51021,0.13845,0.00100687,0.00100687,0.00100687
8,5877.4,0.23958,0.31264,0.04769,0.86093,0.84845,0.85043,0.39997,0.58515,0.52252,0.13543,0.000896846,0.000896846,0.000896846
9,6691.97,0.20317,0.2837,0.03982,0.85136,0.85549,0.84237,0.39431,0.58969,0.54716,0.13936,0.000786824,0.000786824,0.000786824
10,7609.41,0.17534,0.25969,0.03398,0.85827,0.84074,0.82657,0.37746,0.59111,0.60571,0.14165,0.000676802,0.000676802,0.000676802
11,8455.62,0.16353,0.25006,0.03154,0.86489,0.84654,0.84145,0.39524,0.57701,0.58619,0.13566,0.00056678,0.00056678,0.00056678
12,9257,0.13751,0.2229,0.02609,0.84407,0.85386,0.82952,0.38738,0.59999,0.59267,0.14174,0.000456758,0.000456758,0.000456758
13,10016,0.11207,0.19438,0.02099,0.85828,0.85196,0.84017,0.3969,0.58882,0.63544,0.14029,0.000346736,0.000346736,0.000346736
