Trial,Score,Parameter,Value
exploit_019,0.7673,inference.confidence,0.5
exploit_019,0.7673,inference.iou,0.85
exploit_019,0.7673,inference.downscale_width,960.0
exploit_019,0.7673,passes.top_region.ratio,0.54
exploit_019,0.7673,nms.hard_iou,0.21
exploit_019,0.7673,nms.containment_fraction,0.57
exploit_019,0.7673,nms.soft_nms_iou,0.31
exploit_019,0.7673,nms.soft_nms_sigma,0.2
exploit_019,0.7673,classes.0.min_confidence,0.57
exploit_019,0.7673,classes.1.min_confidence,0.73
exploit_019,0.7673,classes.0.tracker.max_age,7.0
exploit_019,0.7673,classes.0.tracker.n_init,1.0
exploit_019,0.7673,classes.0.tracker.max_iou_distance,0.84
exploit_019,0.7673,classes.0.tracker.max_cosine_distance,0.8
exploit_019,0.7673,classes.1.tracker.max_age,19.0
exploit_019,0.7673,classes.1.tracker.n_init,3.0
exploit_019,0.7673,classes.1.tracker.max_iou_distance,0.4
exploit_019,0.7673,classes.1.tracker.max_cosine_distance,0.57
exploit_019,0.7673,inference.downscale_height,540.0
