epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,165.63,2.1448,1.42287,0.00754,0.68535,0.69134,0.71288,0.29916,2.03163,1.17727,0.00829,0.000554717,0.000554717,0.000554717
2,305.54,2.06748,1.22186,0.00722,0.7119,0.74349,0.76476,0.31356,2.02844,1.08521,0.00843,0.00109939,0.00109939,0.00109939
3,443.368,2.08477,1.2238,0.00737,0.66649,0.71172,0.71753,0.28146,2.01158,1.16125,0.0085,0.00163306,0.00163306,0.00163306
4,580.556,2.05023,1.25276,0.00727,0.69154,0.66924,0.71992,0.29976,1.94342,1.24661,0.00807,0.00161749,0.00161749,0.00161749
5,718.078,1.99249,1.22169,0.00704,0.72933,0.77268,0.76092,0.31194,1.98251,1.11042,0.0084,0.00160099,0.00160099,0.00160099
6,855.747,1.99142,1.15454,0.00706,0.73427,0.73349,0.76556,0.32914,1.92408,1.08183,0.0079,0.00158448,0.00158448,0.00158448
7,993.308,1.98231,1.11423,0.00695,0.76713,0.76195,0.77816,0.33391,1.97018,0.98719,0.00812,0.00156798,0.00156798,0.00156798
8,1130.84,1.9879,1.08696,0.00692,0.76537,0.71845,0.77371,0.35242,1.9012,1.06188,0.00772,0.00155148,0.00155148,0.00155148
9,1268.37,1.97617,1.04225,0.00688,0.76318,0.77289,0.79,0.35765,1.92617,0.95913,0.00797,0.00153497,0.00153497,0.00153497
10,1406.15,1.95883,0.98634,0.0067,0.79102,0.76791,0.79236,0.36404,1.87301,1.02904,0.0077,0.00151847,0.00151847,0.00151847
11,1543.56,1.92118,0.97417,0.00662,0.79804,0.76893,0.80482,0.35979,1.86707,0.97479,0.00775,0.00150197,0.00150197,0.00150197
12,1680.99,1.94407,0.92099,0.00687,0.77234,0.76282,0.80399,0.36548,1.89004,1.0226,0.0076,0.00148546,0.00148546,0.00148546
13,1818.57,1.93798,0.90438,0.00668,0.77967,0.77508,0.79021,0.32574,2.01016,0.96005,0.00804,0.00146896,0.00146896,0.00146896
14,1956.14,1.89684,0.90521,0.00644,0.7944,0.79136,0.83445,0.38049,1.89353,0.9116,0.00773,0.00145246,0.00145246,0.00145246
15,2093.74,1.88351,0.92497,0.00655,0.81189,0.78247,0.82954,0.37226,1.93878,0.8669,0.00785,0.00143595,0.00143595,0.00143595
16,2231.07,1.85341,0.92444,0.00634,0.80966,0.78123,0.8214,0.37453,1.86685,0.92799,0.00763,0.00141945,0.00141945,0.00141945
17,2368.05,1.87627,0.84539,0.00635,0.79783,0.8002,0.8271,0.38054,1.8912,0.89525,0.00765,0.00140295,0.00140295,0.00140295
18,2505.64,1.86576,0.85439,0.00632,0.79615,0.83634,0.84199,0.37513,1.90687,0.86493,0.00774,0.00138644,0.00138644,0.00138644
19,2642.95,1.82135,0.84017,0.00639,0.7907,0.76792,0.82602,0.38037,1.86178,0.992,0.00755,0.00136994,0.00136994,0.00136994
20,2780.13,1.84569,0.83536,0.0063,0.80265,0.80128,0.83124,0.36288,1.92161,0.91441,0.00772,0.00135344,0.00135344,0.00135344
21,2917.33,1.79938,0.81549,0.00617,0.82872,0.7916,0.84444,0.38923,1.85124,0.93172,0.00743,0.00133693,0.00133693,0.00133693
22,3055.71,1.8036,0.80913,0.00618,0.80264,0.80883,0.82584,0.37045,1.89827,0.8968,0.00769,0.00132043,0.00132043,0.00132043
23,3194.38,1.81148,0.77352,0.00617,0.84926,0.8161,0.84052,0.37718,1.91563,0.86622,0.00766,0.00130393,0.00130393,0.00130393
24,3340.55,1.7874,0.7673,0.00616,0.82754,0.82213,0.8408,0.39081,1.85143,0.8423,0.00743,0.00128742,0.00128742,0.00128742
25,3486.8,1.79887,0.75714,0.00607,0.83388,0.79425,0.84684,0.39037,1.89492,0.84611,0.0076,0.00127092,0.00127092,0.00127092
26,3629.2,1.77076,0.74353,0.00604,0.81273,0.81796,0.83931,0.39778,1.84051,0.82233,0.00743,0.00125442,0.00125442,0.00125442
27,3770.41,1.77194,0.67085,0.00605,0.84443,0.84035,0.86123,0.39736,1.84918,0.7811,0.00735,0.00123791,0.00123791,0.00123791
28,3911.7,1.76451,0.6795,0.00597,0.83736,0.83443,0.86567,0.40642,1.85789,0.79114,0.00737,0.00122141,0.00122141,0.00122141
29,4052.45,1.74838,0.65733,0.00584,0.85243,0.81274,0.8622,0.40819,1.89977,0.77366,0.00758,0.00120491,0.00120491,0.00120491
30,4197.19,1.73315,0.68206,0.00592,0.84424,0.82937,0.86604,0.40697,1.84005,0.79296,0.00745,0.0011884,0.0011884,0.0011884
31,4339.7,1.73181,0.67904,0.00587,0.7992,0.84489,0.8457,0.39643,1.86631,0.8252,0.00763,0.0011719,0.0011719,0.0011719
32,4483.6,1.71151,0.67515,0.00586,0.85402,0.8355,0.8622,0.41101,1.85352,0.77001,0.00741,0.0011554,0.0011554,0.0011554
