epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,145.938,2.18161,1.95437,0.0073,0.74146,0.72451,0.7503,0.30278,2.12877,1.06094,0.00884,0.000554717,0.000554717,0.000554717
2,284.915,2.06844,1.67439,0.00678,0.71916,0.74081,0.74463,0.2996,2.07212,1.10183,0.00863,0.00109939,0.00109939,0.00109939
3,421.698,2.12324,1.7032,0.00692,0.77329,0.68655,0.7436,0.31259,1.95582,1.22078,0.00814,0.00163306,0.00163306,0.00163306
4,557.816,2.06059,1.66597,0.00667,0.7403,0.71672,0.727,0.3,1.97793,1.13499,0.00837,0.00161749,0.00161749,0.00161749
5,693.765,2.02704,1.61728,0.00653,0.73016,0.73689,0.76357,0.3227,1.92924,1.13123,0.00801,0.00160099,0.00160099,0.00160099
6,829.824,2.02527,1.56351,0.00667,0.76403,0.74913,0.75824,0.30436,2.03916,1.03415,0.00864,0.00158448,0.00158448,0.00158448
7,965.899,2.00615,1.55433,0.0064,0.768,0.74278,0.77549,0.32801,1.92808,1.12785,0.00799,0.00156798,0.00156798,0.00156798
8,1102.28,1.96913,1.50086,0.00637,0.77748,0.73142,0.77892,0.33661,1.91673,1.06363,0.00784,0.00155148,0.00155148,0.00155148
9,1238.64,1.97928,1.50355,0.00644,0.76728,0.77349,0.77957,0.33142,1.89382,1.0836,0.00796,0.00153497,0.00153497,0.00153497
10,1374.71,1.92569,1.5102,0.00614,0.7875,0.71542,0.78062,0.33952,1.94236,1.0824,0.00849,0.00151847,0.00151847,0.00151847
11,1510.83,1.94574,1.44395,0.00624,0.78631,0.79303,0.80167,0.35465,1.88613,1.05093,0.00789,0.00150197,0.00150197,0.00150197
12,1647.2,1.94453,1.43289,0.00621,0.76988,0.7355,0.78126,0.32582,2.02286,1.11908,0.00878,0.00148546,0.00148546,0.00148546
13,1783.33,1.91717,1.38312,0.00621,0.7918,0.78662,0.81167,0.3655,1.91859,1.00984,0.00791,0.00146896,0.00146896,0.00146896
14,1919.58,1.89034,1.37275,0.00614,0.80458,0.77066,0.79726,0.3309,2.00036,1.01525,0.00863,0.00145246,0.00145246,0.00145246
15,2055.52,1.90337,1.40378,0.00602,0.78858,0.81266,0.81861,0.33453,1.96732,1.04392,0.00832,0.00143595,0.00143595,0.00143595
16,2191.55,1.90634,1.34793,0.00623,0.79256,0.79548,0.82716,0.38006,1.82153,1.03775,0.00754,0.00141945,0.00141945,0.00141945
17,2328.15,1.88377,1.32456,0.00604,0.80921,0.79071,0.83157,0.36863,1.89466,0.96808,0.00791,0.00140295,0.00140295,0.00140295
18,2474.2,1.88015,1.3025,0.00603,0.78306,0.78611,0.81031,0.34342,1.94625,0.99976,0.0082,0.00138644,0.00138644,0.00138644
