epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,2490.43,1.63794,1.56531,0.0058,0.76626,0.69797,0.78223,0.55425,0.88645,0.61287,0.00511,0.00999849,0.00333283,0.00999849,0.00333283,0.00999849,0.00333283,0.00999849,0.00333283
2,4287.12,1.62425,1.32592,0.00578,0.79498,0.71117,0.79619,0.56281,0.90048,0.61698,0.00539,0.0198005,0.00660017,0.0198005,0.00660017,0.0198005,0.00660017,0.0198005,0.00660017
3,5919.45,1.71639,1.41658,0.00648,0.76715,0.7547,0.81068,0.57313,0.95321,0.60249,0.00592,0.0294045,0.00980151,0.0294045,0.00980151,0.0294045,0.00980151,0.0294045,0.00980151
4,7506.89,1.75141,1.45024,0.00667,0.8316,0.74756,0.83722,0.59525,0.905,0.55163,0.00544,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,9091.8,1.6854,1.3618,0.00622,0.83343,0.76616,0.84411,0.60841,0.85632,0.49465,0.00509,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,10678.7,1.64067,1.3007,0.00593,0.85913,0.79541,0.87731,0.63908,0.81932,0.4481,0.00472,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,12266.1,1.59785,1.25758,0.00573,0.84329,0.81445,0.88287,0.65452,0.79002,0.42807,0.0045,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,13849.8,1.57041,1.22505,0.00554,0.86663,0.79276,0.88366,0.66287,0.76181,0.41492,0.00431,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,15435.9,1.54322,1.19933,0.00544,0.85424,0.82647,0.89544,0.67387,0.75488,0.39011,0.0042,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,17021.6,1.53501,1.18092,0.00536,0.87897,0.817,0.89665,0.68091,0.74134,0.37605,0.00409,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,18606.9,1.52261,1.1715,0.00525,0.88758,0.82217,0.9056,0.68941,0.72739,0.3741,0.00396,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,20195.7,1.50864,1.14653,0.00518,0.86301,0.8321,0.90068,0.68933,0.71772,0.36362,0.00392,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,21779.3,1.49871,1.13559,0.00506,0.87572,0.81616,0.89621,0.68749,0.71162,0.3612,0.00388,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,23364.2,1.47758,1.1186,0.005,0.88281,0.81334,0.89498,0.68693,0.70517,0.36244,0.00383,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,24950.6,1.48124,1.11908,0.00497,0.87242,0.81516,0.89854,0.69276,0.70014,0.35284,0.00382,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,26535.5,1.47395,1.10503,0.00491,0.86083,0.82107,0.89677,0.69486,0.69676,0.35031,0.00379,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,28122.3,1.45989,1.0909,0.00487,0.86352,0.82041,0.89863,0.69618,0.69312,0.34748,0.00377,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,29710.5,1.45001,1.07756,0.00481,0.86026,0.8239,0.89517,0.69498,0.68873,0.35157,0.00373,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,31294,1.43766,1.06649,0.00476,0.87542,0.82176,0.8974,0.69807,0.68611,0.34594,0.00372,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,32879,1.44254,1.06966,0.00476,0.86659,0.82605,0.89614,0.69754,0.68346,0.34548,0.00371,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
21,34464.2,1.43052,1.05535,0.00475,0.88242,0.81239,0.89614,0.69754,0.68197,0.3452,0.00372,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
22,36055.4,1.42929,1.05398,0.00464,0.87133,0.81589,0.89488,0.69766,0.6813,0.35086,0.00372,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
23,37716.1,1.41314,1.03671,0.00462,0.87572,0.81554,0.89623,0.69796,0.67766,0.35319,0.00368,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
24,39366,1.41375,1.03494,0.00461,0.88489,0.81244,0.89731,0.69866,0.67665,0.34259,0.00367,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
25,40954.6,1.40541,1.02712,0.00458,0.8744,0.81973,0.89663,0.69917,0.67429,0.34112,0.00366,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
26,42549.5,1.40323,1.02513,0.00453,0.87091,0.82422,0.89581,0.69907,0.67314,0.33876,0.00366,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
27,44147.8,1.39764,1.01737,0.00453,0.86997,0.82277,0.89643,0.70039,0.67139,0.33537,0.00366,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
28,45744.9,1.39031,1.00932,0.00449,0.86404,0.8288,0.89555,0.70086,0.66876,0.33481,0.00364,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
