epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,100.402,2.15192,1.426,0.00774,0.77708,0.73593,0.78931,0.33755,2.02659,0.99811,0.00785,0.00055323,0.00055323,0.00055323
2,155.104,2.0791,1.09017,0.00733,0.76982,0.74966,0.79277,0.33878,2.01621,0.98003,0.00811,0.000999115,0.000999115,0.000999115
3,208.685,2.0657,1.01382,0.00726,0.75569,0.70396,0.76386,0.32231,2.02445,1.06551,0.00797,0.00133498,0.00133498,0.00133498
4,262.36,2.02186,0.95022,0.00711,0.7734,0.81027,0.81532,0.34837,2.0078,0.92226,0.00798,0.0011719,0.0011719,0.0011719
5,315.569,1.98948,0.92721,0.00693,0.7906,0.75225,0.80061,0.34552,2.01374,0.9186,0.0079,0.00100687,0.00100687,0.00100687
6,369.034,1.94459,0.81602,0.00688,0.78611,0.79725,0.82759,0.37735,1.93595,0.87754,0.00761,0.000841835,0.000841835,0.000841835
7,421.77,1.89809,0.76903,0.00651,0.8124,0.8146,0.85238,0.39434,1.88928,0.84531,0.00742,0.000676802,0.000676802,0.000676802
8,474.622,1.86932,0.7253,0.00637,0.83707,0.84218,0.86977,0.4095,1.87611,0.77847,0.00735,0.000511769,0.000511769,0.000511769
9,527.327,1.8162,0.68765,0.0062,0.82674,0.83144,0.87271,0.41687,1.85668,0.76755,0.00731,0.000346736,0.000346736,0.000346736
10,580.155,1.75297,0.64965,0.00592,0.83406,0.83946,0.87266,0.42122,1.83803,0.75525,0.00715,0.000181703,0.000181703,0.000181703
